drug,year,field,count,snapshot_date,meta_last_updated
propranolol,2022,openfda_generic_name,5486,2026-06-23,2026-04-28
propranolol,2023,openfda_generic_name,5819,2026-06-23,2026-04-28
propranolol,2024,openfda_generic_name,6680,2026-06-23,2026-04-28
propranolol,2025,openfda_generic_name,5858,2026-06-23,2026-04-28
propranolol,2022,medicinalproduct,4623,2026-06-23,2026-04-28
propranolol,2023,medicinalproduct,5055,2026-06-23,2026-04-28
propranolol,2024,medicinalproduct,5695,2026-06-23,2026-04-28
propranolol,2025,medicinalproduct,4978,2026-06-23,2026-04-28
atenolol,2022,openfda_generic_name,4325,2026-06-23,2026-04-28
atenolol,2023,openfda_generic_name,3681,2026-06-23,2026-04-28
atenolol,2024,openfda_generic_name,3472,2026-06-23,2026-04-28
atenolol,2025,openfda_generic_name,3288,2026-06-23,2026-04-28
atenolol,2022,medicinalproduct,4228,2026-06-23,2026-04-28
atenolol,2023,medicinalproduct,3593,2026-06-23,2026-04-28
atenolol,2024,medicinalproduct,3284,2026-06-23,2026-04-28
atenolol,2025,medicinalproduct,3181,2026-06-23,2026-04-28
metoprolol,2022,openfda_generic_name,21443,2026-06-23,2026-04-28
metoprolol,2023,openfda_generic_name,20502,2026-06-23,2026-04-28
metoprolol,2024,openfda_generic_name,19793,2026-06-23,2026-04-28
metoprolol,2025,openfda_generic_name,20245,2026-06-23,2026-04-28
metoprolol,2022,medicinalproduct,20543,2026-06-23,2026-04-28
metoprolol,2023,medicinalproduct,19676,2026-06-23,2026-04-28
metoprolol,2024,medicinalproduct,19018,2026-06-23,2026-04-28
metoprolol,2025,medicinalproduct,19643,2026-06-23,2026-04-28
